urb,age,hhchildsuppgrant,no_schooling,secondary,female,married,groupafrican,groupcoloured,hourlyincome,agemp
1,26,1,0,0,0,0,0,1,2.519151,0
0,53,0,0,0,1,0,0,1,1.9705849,0
0,30,0,0,1,0,0,0,1,1.523587,1
0,27,0,0,0,0,1,0,1,1.8260037,1
0,34,0,0,0,0,0,0,1,2.356632,1
0,49,0,0,0,0,1,0,1,2.0083253,1
0,49,0,0,0,1,1,0,1,2.1036353,1
0,21,0,0,0,0,1,0,1,2.0797844,1
1,51,0,0,0,1,0,1,0,2.5881438,0
0,54,0,1,0,0,0,0,1,2.099297,0
0,18,0,0,1,0,0,0,1,2.3615222,1
0,38,0,0,0,0,1,0,1,3.0299766,0
0,36,0,0,0,0,1,0,1,2.1136858,1
1,28,0,0,1,0,1,0,1,2.7014725,0
0,19,0,0,1,1,0,0,1,1.9705849,1
0,20,0,0,0,1,1,0,1,1.8905421,1
0,31,0,0,0,1,1,0,1,1.6289475,0
1,22,1,0,1,0,0,0,1,3.2122982,0
0,34,0,0,0,1,1,0,1,1.8260037,0
1,19,0,0,0,0,0,1,0,2.4966781,0
0,44,0,0,0,1,1,0,1,2.1444573,0
0,53,0,0,0,1,1,0,1,2.0883679,0
0,38,0,0,0,1,1,0,1,2.2365839,0
0,30,0,0,0,0,1,0,1,2.4678576,1
1,59,0,0,0,1,0,0,1,1.315178,0
1,18,0,0,0,0,0,0,1,1.8668258,1
0,28,0,0,0,1,0,0,1,2.5502257,0
0,30,0,0,0,0,1,0,1,1.8905423,1
0,30,0,0,0,0,1,0,1,2.0083253,1
0,28,0,0,1,1,0,0,1,3.250808,0
0,36,0,0,0,0,1,0,1,2.0083253,1
1,36,0,0,0,0,1,0,1,3.6438506,0
0,38,0,0,0,0,1,0,1,3.5793121,0
1,47,1,0,0,0,1,0,1,3.0551124,0
1,39,0,0,0,0,1,1,0,3.3843393,0
0,24,0,0,0,0,1,0,1,2.4137905,1
0,40,0,0,0,1,1,0,1,1.8668258,1
0,21,0,0,1,1,1,0,1,1.9595351,0
0,30,0,0,1,1,0,0,1,1.9705849,0
0,31,0,0,0,0,1,0,1,2.4678576,1
1,23,0,0,0,1,0,0,1,3.7538514,0
1,31,0,0,0,0,1,1,0,2.6245115,0
0,35,0,0,0,0,1,0,1,2.806833,1
1,36,0,0,0,0,1,1,0,2.0344126,0
0,46,0,0,0,0,1,0,1,3.5793121,0
0,30,0,1,0,1,0,0,1,1.745961,0
0,25,0,0,0,1,0,0,1,2.2960074,0
1,44,0,0,0,0,1,1,0,2.0083253,0
0,25,0,0,1,1,0,0,1,3.0684862,0
1,49,0,1,0,0,1,1,0,3.1343365,0
1,22,0,0,0,1,1,1,0,2.4398777,0
0,30,0,0,0,0,0,0,1,2.1334884,1
0,50,0,0,0,1,1,0,1,3.3561685,0
0,64,0,0,0,0,1,0,1,3.771914,1
0,23,0,0,1,0,0,0,1,1.935203,1
1,39,0,0,0,1,0,0,1,2.4814105,1
0,37,0,0,0,0,1,0,1,2.0083251,1
0,40,0,0,0,0,1,0,1,1.9060464,1
1,41,0,0,1,0,1,0,1,3.250808,0
0,18,0,0,1,1,0,0,1,2.4287045,0
1,23,0,0,1,0,0,0,1,2.298799,0
0,57,0,0,0,0,1,0,1,1.6028602,1
1,29,0,0,0,0,0,0,1,2.6245115,0
1,21,0,0,0,1,0,0,1,0.56807542,0
0,30,0,0,0,0,0,0,0,3.9157841,1
1,30,0,0,0,0,1,1,0,2.2960074,0
1,44,0,0,1,0,0,0,0,3.0684862,0
0,22,0,0,0,0,1,0,1,2.2960074,1
1,38,0,0,0,0,1,0,1,3.0152419,0
0,29,0,0,0,1,1,0,1,1.6289475,0
0,27,0,0,0,0,1,0,1,2.1334884,1
0,24,0,0,0,0,0,1,0,2.2960074,1
0,31,0,0,1,1,1,0,1,3.0945151,0
0,38,0,0,0,0,1,1,0,1.7467306,1
0,29,0,0,0,0,1,0,1,1.9511667,1
0,19,0,0,0,0,0,0,1,2.1334884,1
0,27,0,0,0,0,0,0,1,2.3856196,0
0,37,0,1,0,1,1,0,1,0.76590127,0
0,32,0,0,1,0,1,0,1,3.0945151,0
0,30,0,0,0,0,1,0,1,2.519151,0
0,24,0,0,0,0,1,0,1,2.1334884,1
1,31,0,0,1,1,0,0,1,2.2575562,0
1,21,0,0,1,0,0,0,1,2.1624761,0
1,24,0,0,0,0,0,1,0,2.1906469,0
1,35,0,0,1,1,1,0,1,3.0276644,0
0,29,0,0,0,1,1,0,1,1.9595351,0
0,40,0,0,0,0,1,0,1,2.4137905,1
1,32,0,0,0,0,1,1,0,3.7616334,0
0,40,0,0,0,0,1,0,1,2.1906469,1
0,27,0,0,0,0,0,0,1,3.2122982,0
1,30,0,0,0,0,0,0,1,2.9253857,0
0,25,0,0,0,1,1,0,1,1.7851816,1
0,42,0,0,1,0,1,0,1,1.8497202,1
1,32,0,0,0,1,1,0,1,2.1136858,0
0,26,0,0,0,1,1,0,1,1.9930578,1
0,28,0,0,0,1,1,0,1,1.9595351,0
0,53,0,0,0,0,1,0,1,2.766011,1
1,29,0,0,1,0,0,0,1,3.7876623,0
0,38,0,0,0,1,1,0,1,1.8802619,0
0,46,0,0,0,1,1,0,1,1.7082208,1
0,32,0,1,0,0,1,0,1,2.1624761,1
0,26,1,0,0,1,0,0,1,2.519151,1
0,26,0,0,0,0,1,0,1,2.2314687,1
0,37,0,0,0,1,1,0,1,1.7467306,0
0,31,0,0,0,0,0,0,1,3.1818151,0
0,26,0,0,1,0,0,0,1,2.0083253,1
0,28,0,0,0,1,1,0,1,1.8260037,0
0,30,0,0,0,0,1,0,0,3.9439552,0
1,26,0,0,0,0,0,1,0,2.9507034,0
0,20,0,0,0,1,0,0,1,2.1464756,1
0,42,0,0,0,1,1,0,1,1.2359049,0
0,28,0,0,0,0,1,0,1,2.4137905,1
1,27,0,0,0,0,1,1,0,3.0299766,0
1,26,0,0,1,0,1,0,1,3.1936495,0
0,23,0,0,1,1,0,0,1,2.9246159,0
0,43,0,0,1,0,1,0,1,3.4354417,0
0,29,0,0,1,0,1,0,1,2.244714,1
1,34,0,0,1,0,0,0,1,2.3368294,0
0,23,0,0,0,0,1,0,1,2.2960074,1
0,29,0,0,0,0,1,0,1,1.8905423,1
0,51,0,1,0,0,1,0,1,1.9744238,1
1,34,0,0,0,1,1,0,1,2.9609838,0
0,22,0,0,0,1,0,0,1,1.7699142,1
0,30,0,0,0,0,1,0,1,2.1906469,1
0,37,0,0,1,0,1,1,0,2.7275598,0
0,24,0,0,0,1,1,0,1,1.8260037,0
0,27,1,0,0,0,0,0,1,1.9393325,1
0,25,0,0,1,0,1,0,1,0.90971303,1
0,23,0,0,0,1,1,0,1,2.0083251,0
0,21,0,0,0,1,0,0,1,2.0728638,1
1,30,0,0,0,0,0,1,0,2.6245115,0
0,27,0,0,1,0,1,0,1,1.8069555,1
0,55,0,0,0,0,1,0,1,2.0381782,1
0,37,1,0,0,0,1,0,1,2.0083253,1
0,24,0,0,0,1,0,0,1,2.7275598,0
0,54,0,0,0,0,1,0,1,2.0074782,1
0,44,0,1,0,0,1,0,1,1.9384854,1
0,42,0,0,0,1,0,0,1,2.1463146,0
0,29,0,0,1,0,1,0,1,2.0199006,1
1,32,0,0,1,1,0,0,1,4.3853693,0
1,25,0,0,1,0,0,0,1,3.0268171,0
0,28,0,0,0,1,1,0,1,1.602013,0
0,48,0,0,1,0,0,0,0,3.1321778,1
0,41,0,1,0,1,1,0,1,2.1897995,1
0,62,0,0,0,0,1,0,1,1.8837686,1
0,21,0,0,0,1,0,0,1,2.1252613,1
1,39,0,0,0,0,1,0,1,2.8184085,0
1,45,0,0,0,1,1,0,1,2.8766773,0
1,23,0,0,1,0,0,0,1,2.2951603,0
0,51,0,1,0,0,1,0,1,2.1897995,1
1,40,0,0,0,1,0,0,1,1.6789739,1
1,42,0,1,0,1,1,0,1,2.9883075,0
0,45,0,0,0,1,1,0,1,1.7843345,1
0,29,0,0,0,0,1,0,1,2.2158871,1
1,49,0,0,0,0,1,0,1,2.4390306,0
1,24,0,0,1,1,0,0,1,2.701395,0
0,30,0,0,0,0,1,1,0,2.2951603,0
0,39,0,0,0,0,1,0,1,2.2516751,1
0,43,0,0,0,1,1,0,1,1.273509,0
1,35,0,0,0,1,1,0,1,2.402663,0
0,20,0,0,0,1,0,0,1,2.2951603,0
1,30,0,0,0,1,1,0,1,3.0874419,0
0,46,0,0,0,1,1,0,1,2.3336699,0
1,18,0,0,1,0,0,0,1,2.6213522,0
0,40,0,0,0,0,1,0,1,2.0074782,1
0,28,0,0,0,0,1,0,1,1.5227399,1
1,32,0,0,1,0,1,1,0,2.94768,0
0,20,0,0,0,0,1,0,1,2.0562682,1
0,20,0,0,1,1,0,0,1,2.8547761,1
0,27,0,0,0,0,0,0,1,2.0720167,0
1,21,0,0,0,0,0,0,1,2.2951603,0
0,40,0,0,0,1,1,0,1,0.66707379,0
1,23,0,0,0,0,0,0,1,1.7843345,0
0,59,0,1,0,1,1,0,1,1.602013,1
0,47,0,0,0,0,0,0,1,2.1897995,1
1,26,0,0,0,0,0,0,1,2.8444958,0
1,44,0,0,0,0,1,0,1,4.1662517,0
1,41,0,1,0,0,1,0,1,3.5479233,0
0,23,0,0,0,0,0,0,1,2.0074782,1
0,27,0,0,0,1,1,0,1,1.602013,1
1,22,0,0,0,0,0,0,1,3.4738152,0
0,62,0,1,0,0,1,0,1,1.8628969,1
1,27,0,0,1,0,0,0,1,2.8547761,0
0,21,0,0,1,1,0,0,1,2.0074782,1
0,58,0,1,0,0,1,0,1,2.1897995,1
0,25,0,0,0,1,0,0,1,1.7032667,0
1,37,0,0,1,0,1,0,1,4.1842699,0
0,35,0,0,0,0,0,0,1,1.602013,1
0,25,0,0,0,1,0,0,1,1.8643775,1
1,25,0,0,0,1,0,0,1,2.4129434,0
0,37,0,0,0,0,1,0,1,2.1897998,1
1,30,1,0,0,1,0,0,1,2.4129434,0
0,25,0,0,1,0,0,0,1,2.0074782,1
0,31,0,0,0,1,1,1,0,2.1252613,0
0,27,0,0,1,1,1,0,1,0.14886804,1
0,49,0,0,0,0,1,0,1,2.0844393,0
0,38,0,0,0,1,1,0,1,2.2306218,1
0,46,0,1,0,1,0,0,1,1.602013,1
0,33,0,1,0,0,1,0,1,2.3259318,1
0,35,0,0,0,0,0,0,1,2.9883075,0
1,46,0,0,0,1,0,0,1,3.627255,0
0,38,0,0,0,0,1,0,1,2.4129434,1
0,27,0,0,0,0,0,0,1,1.5227399,1
0,28,0,0,0,0,0,0,0,1.7197961,1
0,54,0,0,0,1,1,0,1,1.7740543,0
1,38,0,0,0,1,0,0,1,3.3144994,0
1,32,0,0,1,0,0,0,1,3.4303303,0
1,19,0,0,0,0,0,0,1,2.5568137,0
0,42,0,0,0,0,0,0,1,2.5183039,1
0,51,0,0,0,1,1,0,1,0.98819774,0
0,22,0,0,0,1,0,0,1,2.1897995,1
1,36,0,0,0,0,0,0,1,1.9223204,1
0,43,0,0,0,1,1,0,1,2.2466586,0
0,41,0,0,0,1,1,0,1,2.2438669,0
0,55,0,0,0,0,1,0,1,2.8225169,0
1,18,0,0,0,0,0,0,1,3.7992377,0
