distfe,wave,length,expectedlength
2-10,61,243628.09249539633,213482.93014040132
2-10,64,391718.90078480303,393305.12353338185
2-10,68,26792.126953564373,55351.06655998042
2-11,61,417445.962976163,433774.9444421877
2-11,64,872717.7301615225,806028.4499146112
2-11,68,62630.95707587501,112991.25585676153
2-12,61,61699.85660096066,60483.126250541354
2-12,64,128184.77031296426,113952.07703772618
2-2,61,149794.9921782353,143496.99479070245
2-2,64,237980.1384000314,265700.7862724359
2-2,68,58605.74881083046,37183.09832595878
2-3,61,62567.57378409266,27913.822577986964
2-3,64,23186.114332151446,50090.59611192249
2-4,61,222329.1652516442,223662.13915474308
2-4,64,409947.610393912,417183.28714457684
2-4,68,65573.95074698074,57005.30009321701
2-5,61,448153.82471663883,360635.77052171476
2-5,64,616624.2133691239,669928.3841427803
2-5,68,60696.02776993777,94909.9111912057
2-6,61,13450.611814763397,13443.167177820527
2-6,64,25468.894763697517,25380.040083467105
2-6,68,3724.8139577106845,3821.1132748839705
2-7,64,47518.49107853852,32245.894069033817
2-7,68,7105.3415138063265,4559.028172631555
2-8,61,1493.462852575152,6362.421774371392
2-8,64,15429.770758632927,12496.123607800473
2-8,68,3648.8567100885716,1713.544939124784
2-9,61,158781.8963399662,101072.42570715061
2-9,64,135544.75396732747,187675.4406874109
2-9,68,21349.698648416095,26928.48256114818
20-12,61,118.07197085049556,1251.8700819680575
20-12,68,3154.6899202153254,1398.6461864480375
20-18,68,1925.4696010032521,768.2623708002975
20-4,61,2663.1200743829068,1368.8437182328137
21-1,61,13138.437505866277,43994.005181996654
21-1,64,245097.37844290768,237160.04838718302
21-1,68,305982.09640502767,283063.8587846218
21-10,61,6469.575805919035,17172.733639430284
21-10,64,83167.51591037169,91668.39415289447
21-10,68,128578.20503455363,109374.1689585196
21-11,61,1969.012677807429,10909.619081998106
21-11,64,28025.64730242043,61073.855272413646
21-11,68,116500.88523529426,74512.07086111039
21-12,61,16188.524455696785,30208.81614901655
21-12,64,117204.33405296234,165034.08584717542
21-12,68,257120.2439276875,195270.20044015464
21-13,64,72260.05607321739,90745.15876273003
21-13,68,144443.96469430893,109696.75302450327
21-14,61,13593.215902055777,18586.678591826338
21-14,64,159805.0786502093,99087.53479730501
21-14,68,64786.755626190316,120510.83678932402
21-15,61,2673.8802504467653,10727.216720149632
21-15,64,35912.92476572795,55453.50874658531
21-15,68,95501.03238834391,67907.11193778369
21-16,61,5433.567390323712,11882.957908610411
21-16,64,26608.750044226414,61795.90642840091
21-16,68,116137.66196274469,74501.1150602835
21-17,64,102625.98526977147,100250.64442473844
21-17,68,136357.23639328132,120621.4669461361
21-18,61,7052.695352257498,21125.769562733687
21-18,64,90672.26944364575,116036.67876651797
21-18,68,176871.80523246172,137434.32169911326
21-19,61,55243.63291018012,16025.904774071683
21-19,64,154685.74051251647,107889.1581757267
21-19,68,152641.54426889142,134516.3094755281
21-2,61,14589.499724262147,4244.299223632655
21-2,64,32837.77303097639,23944.385478326545
21-2,68,9193.14024618528,28431.728299464612
21-20,61,10582.854977499444,8901.481179757993
21-20,64,59126.23087853757,60091.7931961322
21-20,68,131688.99164038466,73925.70248664235
21-21,61,13751.904831553053,14353.180464205612
21-21,64,131406.04091852237,77442.70292653363
21-21,68,38752.68450613723,92114.74686547341
21-22,61,32676.5115236961,15162.883645780557
21-22,64,75108.67107111427,81500.21701125933
21-22,68,88488.06814294193,99610.15008071241
21-23,64,77694.36034436218,69618.88969443525
21-23,68,88152.31130283569,83888.63130867724
21-24,61,15653.911245697911,20373.214027642392
21-24,64,105858.69158504515,109119.21628470703
21-24,68,143476.73313832917,135496.9056567228
21-25,61,9493.725441378116,9035.922380648522
21-25,64,30450.05845852527,48012.72547321629
21-25,68,75864.6017297951,58759.737775833666
21-26,61,32479.224733595,31844.220064265075
21-26,64,130097.88894539853,170477.70017121086
21-26,68,245045.9369044543,205301.13034797195
21-27,61,21396.59383972535,17732.502774037548
21-27,64,55598.443562248314,96316.50634832594
21-27,68,150723.0176077165,113669.04588732669
21-28,61,14081.283502697976,43718.45303692901
21-28,64,192451.97814874208,238633.45915504068
21-28,68,361414.17825482483,285595.527714295
21-29,61,11570.389135850153,20996.951793976292
21-29,64,237175.3249455459,132034.76075627108
21-29,68,135847.37948056665,158960.60582967105
21-3,61,10928.178349609936,21216.165720365392
21-3,64,71559.64745243831,114191.92567323644
21-3,68,192206.97866720735,139286.71307565368
21-30,61,5443.101834749784,17146.235304001777
21-30,64,91239.74193925457,90534.15522629624
21-30,68,118632.82009474441,107635.2733384508
21-4,61,6122.710896230902,5260.761563325673
21-4,64,41813.94519484774,27176.160285836333
21-4,68,17787.298441855462,33287.03268377211
21-5,64,92031.43720428515,65087.654780048964
21-5,68,64486.79053099257,79633.43666647516
21-6,61,26139.71072536051,39922.96503153981
21-6,64,204343.74874703737,215377.17537164228
21-6,68,286817.46202809684,262000.7810973126
21-7,61,3604.7215400503874,35674.85787705918
21-7,64,355575.01832930266,190718.77756381145
21-7,68,97988.90694774267,230775.01137622492
21-8,61,16018.99021880825,42494.300368405115
21-8,64,333463.1254641939,225072.34728225082
21-8,68,188945.3140295542,270860.7820619006
21-9,61,8501.608346165274,10690.904195535764
21-9,64,43746.18752407143,60635.789762001186
21-9,68,93434.26577676261,74355.36768946238
22-10,64,7954.689519082867,3406.5708607501715
22-12,61,1354.8030757104088,161.4838725754404
22-12,68,1686.3675570680641,1230.9110646526876
22-14,68,24783.71753830249,13315.405172107263
22-15,64,2963.35199772789,1180.5377619481135
22-17,64,71378.76873754479,35071.31771416573
22-17,68,8407.325568128763,42899.56687878693
22-18,64,6218.7050177281535,4085.032364100643
22-18,68,3386.745486011631,5313.039759997173
22-2,61,4001.825503375677,1824.250947840091
22-2,64,3503.4441962836436,34038.97252945076
22-2,68,70610.20521052029,42252.251432888756
22-4,64,26972.37288902192,12829.486632398202
22-4,68,2197.047381202933,15650.474959490268
22-7,64,110.89842872321269,2957.8963703409427
22-7,68,6688.0205542170115,3691.261375206322
22-8,68,3425.454147513579,1805.214335739656
22-9,64,903.954676491417,5149.448533247527
22-9,68,11992.686433150935,4060.2805088769223
23-1,61,8349.956714780254,18120.604427741087
23-1,64,14702.02101807376,16172.62445568812
23-1,68,141991.39218296553,130750.14103239033
23-10,61,122996.6427385803,27836.89599469558
23-10,68,129907.15199372325,200624.20382106508
23-11,61,76084.78299646173,26375.783938571964
23-11,64,43720.03026034591,24469.967186432274
23-11,68,129228.89609346296,198187.9582252663
23-12,61,33871.54236809927,45598.418361540724
23-12,64,33425.81144818961,35869.51344854594
23-12,68,517159.92899273895,463189.35996554524
23-13,61,30857.49690531814,59579.90858677351
23-13,64,125822.62799735315,53624.28573675484
23-13,68,395045.3250840708,438521.2556632138
23-14,64,35727.55958888987,20564.48927550013
23-14,68,179960.4200537088,172542.2764570348
23-15,61,12647.06705788085,16638.779343846676
23-15,64,43678.92873109599,15301.790995806012
23-15,68,96914.74751609251,121300.17296541667
23-16,61,32056.98078083961,49765.15338014031
23-16,64,84382.34127885416,45678.33496231094
23-16,68,339361.45904586604,360357.2927631086
23-17,61,78898.98236635805,48369.732346583645
23-17,64,54802.927506417676,43589.91405831889
23-17,68,315104.59516208357,356846.8586299568
23-18,61,25292.80606258016,45713.32764212613
23-18,64,72662.53852913366,41688.80784553679
23-18,68,324731.31298083207,335284.52208488295
23-19,61,62306.42509561368,27684.207380986634
23-19,64,20987.289980211073,24094.281598399364
23-19,68,166380.20464945075,197895.43074588946
23-2,61,20400.673366016556,75620.63868356745
23-2,64,170195.35841779035,68971.10041340366
23-2,68,507973.5017070997,553977.7943939356
23-20,61,58578.11601197364,23625.366883759743
23-20,64,6219.327715870614,20723.770683523726
23-20,68,153082.253699422,173530.5598599828
23-21,61,23842.718695399726,75367.17887970986
23-21,64,148112.59803756117,68005.98961789519
23-21,68,523758.7169332336,552340.8651685894
23-22,61,3820.9617891623866,12661.408892019665
23-22,64,21189.78904218201,11478.17539881827
23-22,68,92990.16020104961,93861.32674155607
23-23,61,86806.72539467062,91379.61281801255
23-23,64,79059.86107961925,81404.16079907806
23-23,68,673264.6131389413,666347.4259961407
23-24,61,59189.15511294894,38611.341085123364
23-24,64,32405.409450922918,33052.39469273719
23-24,68,266788.68572117086,146644.00232194408
23-25,61,19884.322961296857,25464.36889893988
23-25,64,26280.008062155583,23131.267468903785
23-25,68,185883.97743583232,183452.67209144108
23-26,61,5095.537861824518,8238.323589097932
23-26,68,70073.17617096144,59529.67183920703
23-27,61,6990.204507229318,14481.245404924783
23-27,68,128221.70287325623,107299.07980817629
23-28,61,44671.057513467866,32001.980866830676
23-28,64,74836.3124863515,28793.21579116512
23-28,68,174373.78397162596,233085.9573134495
23-29,61,39662.55710198826,20326.95786136146
23-29,64,14301.827206621994,17887.145172592664
23-29,68,132470.4335823064,148220.71485696256
23-3,61,39449.29249972616,48261.248414549525
23-3,64,28978.8343555775,43826.33572753107
23-3,68,376222.29663476726,352562.8393479903
23-30,61,20156.781288950795,10098.249706540177
23-30,64,64563.16532963592,9129.513592089732
23-30,68,8933.68147804396,74425.86479800078
23-31,61,21534.412874466612,15514.814931139463
23-31,64,9299.131690399574,14597.672916096373
23-31,68,112742.0571512976,113463.11386892795
23-32,61,33627.017242659655,20993.119174755742
23-32,64,22556.204120049944,18000.496904295574
23-32,68,130591.3731411982,147780.9784248565
23-33,61,16725.26081802731,21270.844123683273
23-33,64,2145.67870158187,19056.033593258195
23-33,68,174974.77493550116,153518.83673816884
23-34,61,32953.919639582804,25298.572234488907
23-34,68,193443.3714677678,179064.8608043939
23-35,61,47966.124344416,38577.44175102607
23-35,64,24172.50049467278,34248.62527129531
23-35,68,281254.4758290605,280567.03364582785
23-36,61,77693.72041369673,38430.12575918851
23-36,64,95957.55346970663,35878.294661644504
23-36,68,179116.7936576375,278459.6471202079
23-37,61,113797.33153694589,45950.484370555154
23-37,64,110600.21587288847,41159.150421463295
23-37,68,194173.01558813584,331460.92820595176
23-38,61,44851.897490204705,53411.961029770166
23-38,64,27101.804685897343,47916.82269909809
23-38,68,418020.25747157866,388645.1759188126
23-39,61,58769.94460959631,88668.23238906913
23-39,64,160516.5138669821,80373.61236215662
23-39,68,600553.2590317349,650797.8727570876
23-4,61,14820.865225806981,23534.096098871752
23-4,64,58819.29448324236,19984.29785384706
23-4,68,240593.30918145512,249193.71444384288
23-40,61,144269.7885326258,89503.19231538805
23-40,64,62556.09081648293,81769.47230552089
23-40,68,616615.7949034425,652169.0096316423
23-41,61,10852.878618511899,18753.388568229308
23-41,64,2795.3435449436506,17527.45919530529
23-41,68,163505.1713385354,140872.54573845636
23-42,61,15569.20349636651,4878.013130212063
23-42,68,30842.188000470058,36691.20152085335
23-43,64,88689.3001312836,29125.29554163451
23-43,68,204985.37941503964,233842.66991686673
23-44,64,17161.007163627444,21268.969024978036
23-44,68,204108.1948468174,175857.5114166145
23-45,61,61566.02701615111,110830.7704197757
23-45,64,137500.8997095628,99913.26037805529
23-45,68,821401.8029114924,809724.6988393752
23-46,64,100713.36713750451,29612.871729532962
23-46,68,372325.2880117895,373502.0686134943
23-47,61,50920.63570628276,33289.876978584354
23-47,64,66564.75914507697,30750.92127457981
23-47,68,195088.85103907017,248533.44763726572
23-48,61,47076.60204620636,16465.101730628685
23-48,64,86985.80637278492,13575.102536928733
23-48,68,69759.69239036941,138279.8431699546
23-49,61,24983.88698559214,71170.77394341934
23-49,68,633140.468008118,523172.8779870698
23-5,61,6092.588822408532,11619.63242790497
23-5,64,45062.29700553355,10678.993856372297
23-5,68,59635.04510321407,88491.30464687887
23-50,64,39544.39113560388,22715.75008765321
23-50,68,189306.23238168115,181193.78007622305
23-6,61,49446.150230405285,30579.648024049184
23-6,64,68423.63323458897,27110.556579409193
23-6,68,161314.16127180835,221493.74013334425
23-7,61,24100.60450953413,35994.95922432404
23-7,64,84778.49312215015,32316.784382669437
23-7,68,220690.81717217897,261258.17119686984
23-8,61,49171.993895540036,24000.304069347174
23-8,64,68811.55358791244,20121.748302623684
23-8,68,199359.36419078457,251242.87500668128
23-9,61,25189.72441663371,51675.96453632402
23-9,64,28931.384817735427,46415.05977169222
23-9,68,415276.08462680125,371306.1695531543
24-1,61,75836.67309368224,95631.98579619401
24-1,64,206823.78389634425,136205.1725791407
24-10,61,155745.91512449924,70164.05698020928
24-10,64,53745.11692605289,102109.17106437632
24-11,61,19571.616964834757,7957.948523261985
24-11,64,3027.0987709888786,10763.205512271581
24-12,61,24813.568623069943,15612.258311074762
24-12,64,17721.294904688308,21961.334920789024
24-12,68,3415.206904491751,8376.477200386209
24-13,61,30685.48450238802,64971.97520278648
24-13,64,99674.27176691897,91732.96477041997
24-13,68,60452.95834577407,34107.77464187462
24-14,61,30661.365770710465,34286.476829669075
24-14,64,46310.78458683352,47903.20064311702
24-14,68,22926.647903827354,17709.120788585235
24-15,61,1118.0596834433259,41240.9824421849
24-15,64,71340.59540766005,58522.06971627767
24-15,68,49434.66104378854,22130.263976429338
24-16,61,2255.9088262454857,52929.021657685866
24-16,64,147138.8417361221,75733.44630965141
24-16,68,7929.925563405951,28662.20815843632
24-17,61,3599.9773400503113,29201.98671264405
24-17,64,19702.423640569243,40332.44731920354
24-17,68,61743.43131154257,15511.398260314521
24-18,61,1019.5080043251376,25033.201681441988
24-18,64,35812.91130674177,37438.80130491288
24-18,68,55187.050074921906,8929.88317759622
24-19,61,54732.365634725276,67314.43145238614
24-19,64,137391.13396223434,94012.84255374904
24-19,68,27192.543912475627,22447.476347077816
24-2,61,27776.546091398828,61009.67627693519
24-2,64,29607.954392689633,86268.91019600758
24-2,68,121671.44853901769,31777.362550163387
24-20,61,54590.83808735698,35486.127920776285
24-20,64,32542.15707077725,50374.78908478991
24-20,68,17774.452784830497,19046.530937398526
24-21,61,13746.498368061573,42100.498228463934
24-21,64,58030.45240320148,60662.224649451615
24-21,68,53235.37257182653,22249.600465174044
24-22,61,5553.457649904293,14619.57631618395
24-22,64,15802.018989242812,20249.294769582928
24-22,68,21356.898615707192,7843.504169087421
24-23,61,35584.72426969929,38936.95892969027
24-23,64,69237.23104839493,56407.86932438845
24-23,68,10984.817325759996,20461.94438977549
24-24,61,4743.494584910506,58249.97568430098
24-24,64,41232.81594650687,83021.42812002751
24-24,68,126506.30779200546,31211.21451909434
24-25,61,10293.75690062623,79055.1543639113
24-25,64,133512.77245750563,111450.02516143258
24-25,68,88361.53120167882,41662.8810344668
24-26,61,4080.880089282964,24522.112219442337
24-26,64,61066.78259968718,35230.1224648277
24-26,68,13445.577160105413,8027.872444465005
24-3,61,21524.49879213707,12818.721014227232
24-3,64,642.7884329339331,18914.318249177555
24-3,68,16142.715962528935,6576.963924195151
24-4,61,25583.768652053273,10369.122900633976
24-4,64,4633.445734558468,14328.346825699506
24-5,61,3760.2401673175746,121012.74546475752
24-5,64,289386.61081350344,173614.43014614002
24-5,68,65382.166151517,63901.84152144057
24-6,61,21661.85008751082,15726.178126704994
24-6,64,6803.683617671983,22617.699969329733
24-6,68,18490.475796654788,8612.131405802864
24-7,61,23664.06121972821,81267.02754952028
24-7,64,171428.2640510655,115270.84826660651
24-7,68,44684.01977691562,43238.46923158253
24-8,61,66734.44675520921,45699.518972140235
24-8,64,65113.26350414972,64619.010287754565
