country,year,electricity,fiaccount,enrollment,gnipc,agemployment,indemployment,servicesemployment,lfp,lfpfemale,lfpmale,population,urbanpop
GRC,2003,100,NA,97.44,NA,15.03,22.54,62.42,34.08,41.16,64.53,10928070,73.69
GRD,2003,86.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,108740,35.91
GTM,2003,78.51,NA,NA,2815.85,33.52,23.64,42.84,62.94,41.87,85.2,12415334,46.32
GIN,2003,18.93,NA,59.1,NA,68.85,5.5,25.65,NA,61.57,66.2,8772254,31.7
GNB,2003,2.59,NA,NA,369.13,61.16,9.93,28.91,NA,48.24,66.25,1315653,37.39
GUY,2003,76.22,NA,91.33,NA,22.12,25.12,52.76,NA,34.9,78.69,760562,28.31
HTI,2003,31.6,NA,NA,1199.19,50.43,10.41,39.16,NA,57.78,69.2,8812245,40.65
HND,2003,65.09,NA,90.42,1635.24,37.36,21.41,41.23,52.2,42.11,83.26,7201881,47.27
HUN,2003,99.99,NA,95.93,8215.3,5.38,33.4,61.22,30.58,42.22,58.19,10129552,65.49
IND,2003,65.41,NA,88.46,696.1,57.72,17.56,24.73,NA,30.26,79.63,1117415123,28.57
IDN,2003,87.94,NA,94.95,-1751.73,46.38,17.71,35.91,49.28,47.78,83.65,223080121,44.36
IRN,2003,98.22,NA,96.05,4234.85,21.43,31.81,46.75,NA,16.64,72.53,67954699,66.17
IRQ,2003,97.17,NA,94.38,NA,27.59,20.44,51.98,NA,10.75,74.65,27068823,68.66
IRL,2003,100,NA,99.98,32751.53,6.5,27.74,65.76,49.42,51.79,74.12,3996521,59.93
ISR,2003,100,NA,98.08,21740.29,1.88,22.42,75.7,53.6,54.17,67.96,6689700,91.39
ITA,2003,100,NA,99.38,28058.26,4.72,31.77,63.52,34.63,37.36,62.16,57313203,67.5
JAM,2003,86.54,NA,90.82,NA,20.38,17.46,62.16,40.21,56.47,74.53,2651027,52.44
JPN,2003,100,NA,NA,25445.87,4.5,29.78,65.72,44.68,48.21,74.09,127718000,83.2
JOR,2003,99.01,NA,94.38,NA,4.05,23.25,72.7,NA,10.95,61.79,5396117,78.31
KAZ,2003,99.92,NA,99.59,3011.32,35.25,16.96,47.78,50.57,65.07,75.71,14909019,56.32
KEN,2003,16,NA,71.28,829.74,44.59,12.51,42.91,NA,70.66,75.16,33767122,20.95
KIR,2003,60.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,94302,43.51
PRK,2003,NA,NA,NA,NA,50.59,15.03,34.38,NA,69.47,80.25,23781707,59.65
KOR,2003,100,NA,NA,16724.72,9.08,27.55,63.37,32.65,49.32,74.7,47892330,80.65
XKX,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1703466,NA
KWT,2003,100,NA,92.68,NA,2.5,17.84,79.66,32.3,45.63,80.54,2101506,100
KGZ,2003,99.4,NA,93.29,719.58,43.24,15.02,41.74,NA,54.57,74.39,5043300,35.29
LAO,2003,48,NA,79.18,676.72,79.55,5.52,14.93,94.9,59.36,67.02,5689065,25.13
LVA,2003,99.75,NA,NA,6233.75,14.24,27.07,58.68,38.82,50.84,64.85,2287955,67.8
LBN,2003,99.22,NA,NA,4344.28,5.14,23.75,71.11,NA,20.26,69,4504807,86.37
LSO,2003,5.45,NA,81.9,NA,41.35,26.45,32.19,NA,64.57,77.59,1993030,21.14
LBR,2003,NA,NA,NA,NA,54.11,10.81,35.08,NA,71.82,82.9,3085173,45.36
LBY,2003,93.52,NA,NA,NA,20.75,21.73,57.51,NA,32.66,61.56,5542641,76.77
LIE,2003,100,NA,99.23,NA,NA,NA,NA,55.59,NA,NA,34000,14.85
LTU,2003,99.4,NA,98.25,6638.66,18.71,27.24,54.05,32.25,55.05,66.41,3415213,66.74
LUX,2003,100,NA,95.88,59164.83,2.72,19.29,77.99,30.35,43.69,65.12,451630,85.74
MDG,2003,20.3,NA,78.09,371.05,77.99,6.7,15.31,67.58,84.2,89.17,17724310,27.94
MWI,2003,6.2,NA,NA,NA,74.11,6.98,18.91,NA,78.15,83.72,12087965,14.88
MYS,2003,98.67,NA,97.09,4317.58,14.27,32.02,53.71,NA,43.68,77.85,24739411,64.78
MDV,2003,89.14,NA,NA,NA,17.79,24,58.21,NA,37.24,69.7,297226,31.25
MLI,2003,14.74,NA,51.6,505.48,63.74,8.95,27.32,NA,60.39,79.99,12342165,30.55
MLT,2003,100,NA,NA,NA,2.46,29.88,67.66,60.04,29.68,69.36,398582,93.16
MRT,2003,23.04,NA,67.01,1182.17,40.72,16.26,43.02,NA,28.02,63.27,2883326,40.35
MUS,2003,99.09,NA,93.72,NA,12.77,34.08,53.15,52.45,40.93,79.33,1213370,42.34
MEX,2003,97.36,NA,99.64,6938,16.55,25.33,58.11,47.15,39,80.4,102429341,75.68
MDA,2003,98.79,NA,96.64,1392.99,43,16.05,40.95,27.45,49.12,54.5,2903198,43.39
MNG,2003,76.3,NA,85.98,NA,46.69,11.93,41.38,39.17,55.96,64.35,2516454,60.38
MAR,2003,75.1,NA,86.01,1951.26,43.9,20.18,35.92,43.09,25.06,76.82,29661270,54.32
MOZ,2003,8.1,NA,NA,275.17,80.48,3.38,16.13,NA,84.38,80.27,19186754,29.64
MMR,2003,45.09,NA,90.54,NA,58.24,14.66,27.1,NA,58.63,82.26,46924293,27.58
NAM,2003,37.78,NA,93.77,2710.05,30.45,14.04,55.51,NA,48.69,61.88,1915425,34.71
NPL,2003,39.59,NA,79.87,560.35,73.19,11.63,15.18,90.6,21.99,60.42,25682908,14.54
NLD,2003,100,NA,NA,34768.17,3.04,19.91,77.05,73.57,56.51,73.29,16225302,80.34
NZL,2003,100,NA,NA,25748.79,8.18,22.4,69.41,62.41,59.3,73.76,4027200,86.22
NIC,2003,74.6,NA,NA,1244.49,30.53,17.95,51.51,NA,38.3,85.48,5323062,55.63
NER,2003,9.28,NA,37.83,424.4,78.72,7.63,13.65,NA,68.77,89.56,12900790,16.25
NGA,2003,52.2,NA,NA,1914.53,46.88,11.64,41.48,NA,56.93,63.57,133119801,37.36
NOR,2003,100,NA,99.86,48823.53,3.83,21.67,74.5,63.66,61.19,71.08,4564855,77.08
OMN,2003,100,NA,NA,9029.67,7.3,15.21,77.49,35.79,24.64,76.65,2431600,71.51
PAK,2003,75.95,NA,56.72,925.64,42.09,20.76,37.15,NA,16.97,82.18,166876680,33.58
PLW,2003,98.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,19880,69.6
PAN,2003,87.8,NA,NA,NA,17.48,17.22,65.3,49.51,46.33,79.31,3181608,63.09
PNG,2003,13.42,NA,NA,NA,34.97,4.18,60.85,NA,64.79,66.87,6090980,13.15
PRY,2003,92.56,NA,96.7,3331.82,31.33,15.99,52.68,57.65,51.52,83.62,5353254,56.98
PER,2003,74.38,NA,98.04,2746.7,37.84,12.9,49.26,65.49,61.54,80.64,27623341,74.25
PHL,2003,76.6,NA,90.41,1985.76,36.12,15.86,48.01,43.05,46.88,75.38,82942837,45.88
POL,2003,99.91,NA,94.61,6462.36,18.2,28.55,53.26,36.17,48.22,62.32,38204570,61.68
PRT,2003,100,NA,NA,15256.77,12.97,32.66,54.37,44.85,54.77,69.95,10458821,56.29
QAT,2003,100,NA,96.03,NA,2.6,39.85,57.56,NA,46.5,95.28,748525,96.87
ROU,2003,95.11,NA,97.5,3447.97,37.68,29.14,33.18,33.94,49.1,63.36,21574326,52.91
RUS,2003,97.93,NA,NA,4437.63,10.8,30.23,58.97,39.17,54.09,66.96,144648618,73.37
RWA,2003,7.37,NA,85.5,307.02,87.38,2.99,9.63,NA,53.83,70.5,8567992,16.9
WSM,2003,89.88,NA,NA,NA,37.74,13.48,48.78,NA,41.35,67.04,187440,21.7
SMR,2003,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,28601,93.98
SAU,2003,100,NA,NA,11438.07,6.92,24.05,69.03,NA,16.9,75.87,23150847,80.53
SEN,2003,41.94,NA,65.72,922.42,45.29,14.74,39.97,NA,33.33,68.19,10434504,40.9
SRB,2003,99.7,NA,NA,NA,24.56,26.59,48.85,NA,45.76,64.32,7480591,53.44
SLE,2003,9.95,NA,NA,350.41,66.64,6.07,27.29,NA,64.67,64.62,5350907,36.35
SGP,2003,100,NA,NA,NA,0.85,25.68,73.47,NA,52.48,78.17,4114826,100
SVK,2003,99.99,NA,83.62,7769.44,6,38.13,55.87,40.81,52.65,68.13,5373374,55.86
SVN,2003,100,NA,97.97,14680.5,8.44,37.13,54.44,35.23,50.19,63.13,1995733,51.08
SOM,2003,9.82,NA,NA,NA,37.53,16.36,46.1,NA,20.7,48.63,9758281,34.76
ZAF,2003,78.8,NA,93.51,4162.82,19.03,27.85,53.12,30.03,52.12,70,48104048,58.45
SSD,2003,NA,NA,NA,NA,64.15,15.33,20.51,NA,69.31,73.8,6992367,16.89
ESP,2003,100,NA,NA,21683.48,5.71,30.71,63.58,44.38,43.28,66.67,42187645,76.78
LKA,2003,74.97,NA,99.62,NA,34,23.51,42.49,45.65,35.6,74.97,19303180,18.33
SDN,2003,29.92,NA,NA,NA,50.04,14.73,35.24,NA,28.63,70.86,28188977,32.65
SUR,2003,95.07,NA,NA,NA,8.11,23.1,68.79,NA,35.5,61.97,503780,66.66
SWE,2003,100,NA,99.1,37269.93,2.55,22.6,74.86,50.62,58.79,66.61,8958229,84.2
CHE,2003,100,NA,99.23,62141.58,4.24,22.44,73.33,69.35,59.45,76.78,7339001,73.43
SYR,2003,92.55,NA,98.38,NA,26.98,25.6,47.42,40.61,18.96,77,17611356,53.05
TJK,2003,100,NA,97.85,NA,57.08,17.42,25.5,42.99,31.31,58.92,6672492,26.51
TZA,2003,11.1,NA,81.67,511.46,78.9,3.76,17.34,NA,85.52,89.03,37333918,23.61
THA,2003,91.58,NA,NA,NA,44.9,19.75,35.35,51.39,65.18,81.24,64776956,34.94
TLS,2003,27.7,NA,NA,NA,53.5,7.27,39.23,NA,63.75,73.85,926721,25.34
TGO,2003,23.03,NA,91.13,491.66,54.64,6.73,38.64,NA,55.29,61.78,5421001,34.27
TUR,2003,99.76,NA,97.15,NA,33.88,22.75,43.37,38.39,26.52,70.27,66867327,66.6
TKM,2003,99.58,NA,NA,NA,35.68,26.51,37.81,NA,54.22,51.91,4758988,46.59
TCA,2003,95.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,21739,86.61
UGA,2003,10.53,NA,NA,382.67,68.7,7.8,23.5,NA,64.17,75.87,26354736,16.06
UKR,2003,99.31,NA,90.12,1174.13,21.58,23.59,54.83,38.55,52.78,61.01,47812949,67.43
ARE,2003,100,NA,NA,52153.94,6.82,27.94,65.24,NA,35.78,90.56,3813443,81.47
GBR,2003,100,NA,99.91,35255.61,1.25,23.34,75.41,61.18,54.56,69.7,59647577,79.34
USA,2003,100,NA,NA,42315.32,1.81,22.19,76,61.56,58.35,71.91,290107933,79.58
URY,2003,97.88,NA,NA,8064.01,11.07,19.94,69,52.5,49.36,69.92,3310202,92.83
UZB,2003,99.51,NA,NA,NA,34.73,19.95,45.32,NA,47.97,75.02,25567650,47.57
VEN,2003,95.7,NA,93.39,NA,10.77,19.84,69.39,54.1,46.64,80.18,25782029,87.9
VNM,2003,90.27,NA,NA,1002.77,59.67,16.41,23.91,57,68.49,75.78,81475825,26.09
YEM,2003,52.6,NA,71.94,NA,35.62,15.22,49.16,NA,16.46,69.55,20188799,27.85
ZMB,2003,18.5,NA,NA,NA,70.61,6.49,22.9,NA,51.83,67.22,10837973,35.95
ZWE,2003,35.14,NA,89.69,NA,71.05,10.79,18.16,NA,60.83,71.21,12075828,34.48
DZA,2003,98.62,NA,94.36,2240.52,21.72,24.68,53.6,NA,12.81,72.25,32055883,62.28
AFG,2004,23.81,NA,NA,NA,63.05,10.11,26.84,NA,15.91,78.66,23553551,22.5
AGO,2004,28.4,NA,NA,1533.3,36.17,9.1,54.74,47.24,75.65,78.94,18771125,54.83
ARG,2004,96.51,NA,99.14,7320.9,11.74,20.33,67.93,47.27,49.95,74.6,38668796,89.86
ARM,2004,99.09,NA,NA,1931.17,42.52,17.21,40.27,NA,54.76,67.93,3065745,64.04
AUS,2004,100,NA,95.38,NA,3.74,21.24,75.02,70.14,55.68,71.49,19932722,84.46
AUT,2004,100,NA,87.7,34224.68,4.9,26.73,68.36,55.74,50,65.11,8171966,59.09
BHR,2004,100,NA,92.88,12802.96,1.4,29.94,68.66,38.98,38.26,85.21,833451,88.4
BGD,2004,40.6,NA,NA,723.89,49.97,14.07,35.96,NA,28.86,86.7,138789725,26.11
BRB,2004,99.92,NA,90.49,NA,3.41,17.34,79.25,57.66,64.48,75.51,268505,33.04
BLR,2004,91.01,NA,92.14,2259.12,16.52,32.8,50.67,NA,54.77,66.29,9730146,71.89
BEL,2004,100,NA,96.36,32386.33,2.22,24.94,72.84,34.03,44.25,60.3,10421137,97.35
BLZ,2004,82.65,NA,95.44,3501.04,20.78,17.74,61.48,NA,41.24,79.78,272128,45.33
BEN,2004,25.18,NA,87.73,788.9,49.44,18.36,32.21,NA,66.22,77.61,7894554,40.04
BTN,2004,51.87,NA,NA,1244,66.58,8.35,25.07,NA,63.47,75.44,649991,29.84
BOL,2004,75.87,NA,96.35,1782.05,35.08,20.52,44.4,NA,59.98,80.22,9216279,63.71
BIH,2004,99.06,NA,NA,2714.95,19.76,32.87,47.38,NA,30.53,56.57,4142860,43.65
BWA,2004,35.26,NA,88.6,2465.56,23.85,19.96,56.19,NA,51.05,66.41,1859085,55.49
BRA,2004,96.77,NA,95.59,5928.9,16.97,22.06,60.96,65.01,54.41,77.89,184722043,82.52
BGR,2004,90.12,NA,96.96,3901.01,10.75,32.92,56.34,29.5,45.47,56.11,7716860,70.23
BFA,2004,10.73,NA,41.15,413.59,82.42,5,12.58,NA,63.48,86.12,13445977,20.76
BDI,2004,3.69,NA,54.63,123.78,91.14,2.43,6.43,NA,82.18,79.56,7120496,9.14
CPV,2004,65.35,NA,95.22,NA,22.38,15.55,62.07,NA,45.6,74.75,486583,56.85
