country,year,electricity,fiaccount,enrollment,gnipc,agemployment,indemployment,servicesemployment,lfp,lfpfemale,lfpmale,population,urbanpop
PAK,2007,80.23,NA,64.82,1037.13,43.63,20.98,35.39,41.27,19.27,79.11,181924521,34.39
PLW,2007,98.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,19366,72.66
PAN,2007,85.54,NA,98.7,NA,14.74,19.28,65.98,47.13,46.01,78.47,3431614,64.27
PNG,2007,14.89,NA,NA,NA,29.58,5.96,64.47,NA,55.18,56.89,6921066,13.07
PRY,2007,96.45,NA,93.15,3881.24,28.67,18.25,53.08,57.28,54.04,83.6,5590145,58.29
PER,2007,81.99,NA,99.26,3468.6,29.21,16.66,54.14,67.81,70.12,86.43,28600387,75.8
PHL,2007,81.96,NA,87.46,2163.33,34.08,15.89,50.03,41.97,47.42,75.04,89561377,45.54
POL,2007,99.77,NA,93.38,8002.68,14.74,30.72,54.53,32.98,46.4,62.25,38120560,61.23
PRT,2007,100,NA,NA,15791.41,11.84,30.24,57.92,41.33,55.96,69.14,10542964,58.75
QAT,2007,100,NA,99.6,NA,2.35,51.86,45.78,67.54,49.49,94.59,1231893,97.92
ROU,2007,96.15,NA,96.38,5683.52,29.53,31.41,39.06,30.52,47.5,62.65,20882982,53.44
RUS,2007,98.21,NA,93.54,7327.05,8.99,29.19,61.82,39.41,56.04,69.09,142805114,73.55
RWA,2007,12.8,NA,NA,422.02,83.02,4.33,12.65,NA,54.19,68.91,9523168,16.92
WSM,2007,92.46,NA,98.37,NA,33.55,14.76,51.69,NA,40.95,66.46,190478,20.75
SMR,2007,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,30372,95.01
SAU,2007,100,NA,NA,16117.23,6.58,23.81,69.61,NA,18.44,75.26,26400068,81.43
SEN,2007,48.15,NA,70.2,957.28,39.35,17.53,43.11,NA,33.55,66.67,11563869,42.54
SRB,2007,99.59,NA,98.92,4107.06,20.81,29.45,49.74,33.28,45.2,62.68,7381579,54.33
SLE,2007,13.01,NA,NA,439.33,67.52,5.61,26.87,NA,63.13,63.78,5939163,37.69
SGP,2007,100,NA,NA,NA,0.99,23.39,75.62,36.87,55.34,78.06,4588599,100
SVK,2007,100,NA,87,11447.77,4.21,39.38,56.41,34.65,50.59,67.76,5374622,55.26
SVN,2007,100,NA,99.23,17351.11,9.89,35.24,54.87,41.97,53.32,66.37,2018122,51.98
SOM,2007,20.21,NA,NA,NA,36.14,16.18,47.68,NA,20.59,48.91,11118092,34.4
ZAF,2007,82,NA,NA,4915.06,17.2,27.16,55.64,29.3,52.56,67.96,49996094,60.62
SSD,2007,0.8,NA,NA,NA,62.58,15.82,21.59,NA,69.44,73.28,8417823,17.42
ESP,2007,100,NA,NA,22929.56,4.52,29.11,66.37,47.89,48.55,68.36,45226803,77.74
LKA,2007,80,NA,96.27,NA,32.46,27.22,40.32,40.94,34.65,74.52,20078655,18.27
SDN,2007,31.1,NA,NA,NA,47.78,15.27,36.95,NA,28.43,70.47,31191163,32.87
SUR,2007,94.71,NA,82.64,NA,7.68,24.38,67.94,NA,38.42,63.62,527946,66.55
SWE,2007,100,NA,96.25,42984.81,2.25,21.65,76.1,52.24,59.74,67.82,9148092,84.59
CHE,2007,100,NA,NA,64453.96,4,22.54,73.45,67.37,59.92,75.75,7551117,73.53
SYR,2007,91.53,NA,98.97,NA,19.14,29.06,51.8,32.94,14.19,74.14,20703005,54.51
TJK,2007,98.59,NA,98.36,989.9,54.4,16.36,29.24,NA,29.76,57.37,7188391,26.51
TZA,2007,15.94,NA,NA,617.61,71.38,5.55,23.07,NA,86.37,89.45,41716497,26.12
THA,2007,94.14,NA,98.5,NA,39.53,21.92,38.55,49.47,65.94,81.67,66826754,39.95
TLS,2007,36.6,NA,NA,NA,52.58,7.25,40.17,41,63.75,73.85,1019362,26.71
TGO,2007,30.04,NA,90.31,377.15,50.76,11.86,37.38,NA,55.32,61.66,6047537,36.12
TUR,2007,99.67,NA,98.52,NA,23.48,26.75,49.77,36.49,22.96,68.28,70468869,69.05
TKM,2007,99.57,NA,NA,NA,33.47,27.14,39.39,NA,51.62,49.62,5024894,47.58
TCA,2007,96.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,26268,88.8
UGA,2007,14.81,NA,NA,497.4,74.21,6.34,19.45,NA,64.87,75.39,29629804,17.9
UKR,2007,99.8,NA,88.27,1966.03,17.86,25.5,56.65,NA,52.73,60.49,46509355,68.15
ARE,2007,100,NA,93.7,49711.59,4.76,25.39,69.85,NA,39.13,89.18,5872624,83.02
GBR,2007,100,NA,97.77,37321.38,1.37,22.19,76.45,61.39,55.68,69.78,61322463,80.48
USA,2007,100,NA,NA,45534.54,1.58,21.89,76.54,59.39,58.23,71.58,301231207,80.27
URY,2007,98.69,NA,98.51,9976.02,10.67,21.68,67.65,55.05,53.53,75.26,3328651,93.78
UZB,2007,99.46,NA,92.71,NA,30.05,21.3,48.65,NA,45.17,73.68,26868000,49.51
VEN,2007,98.85,NA,93.88,NA,8.84,23.13,68.03,44.46,49.72,79.52,27525097,88.01
VNM,2007,93.09,NA,NA,1241.65,49.28,20.39,30.33,55.92,70.52,78.44,84762269,28.5
YEM,2007,57.17,NA,NA,NA,27.42,17.58,55,NA,12.4,68.86,22641538,30.05
ZMB,2007,18.5,NA,91.74,NA,69.47,7.35,23.17,NA,51.62,67.5,12402073,37.88
ZWE,2007,37.18,NA,NA,NA,73.41,9.66,16.93,NA,60.95,70.94,12450568,33.74
DZA,2007,98.69,NA,95.89,2977.93,16.21,28.74,55.05,NA,13.47,69.45,33983827,65.35
AFG,2008,42.4,NA,NA,NA,58.91,12.4,28.7,54.87,15.54,78.73,26427199,23.32
AGO,2008,38.49,NA,82.45,1330.95,44.39,8.07,47.54,NA,75.63,78.98,21691522,58.28
ARG,2008,97.5,NA,99.52,10928.46,10.09,21.86,68.05,42.55,48.06,73.45,40273769,90.53
ARM,2008,99.21,NA,NA,3337.72,38.27,18.85,42.88,33.26,54.3,67.38,2983421,63.64
AUS,2008,100,NA,96.68,NA,3.22,22.4,74.38,70.75,58.54,72.6,21249199,84.94
AUT,2008,100,NA,87.79,37438.07,5.25,26.24,68.51,58.61,53.38,67.47,8321496,57.97
BHR,2008,100,NA,NA,16088.87,1.19,34.38,64.44,NA,41.59,85.76,1110343,88.53
BGD,2008,54.27,NA,95.72,898.22,47.72,15.99,36.29,NA,29.96,85.45,145421318,28.97
BRB,2008,100,NA,98.75,NA,2.82,17.69,79.49,NA,62.54,73.35,272635,32.26
BLR,2008,93.19,NA,NA,3895.27,13.8,32.7,53.5,NA,56.2,67.76,9527985,73.73
BEL,2008,100,NA,97.84,33122.26,1.55,24.67,73.77,33.4,46.91,60.85,10709973,97.56
BLZ,2008,86.05,NA,96.27,3122.35,18.59,16.76,64.65,NA,43.68,79.59,305671,45.26
BEN,2008,28.99,NA,90.14,811.84,46.51,18.11,35.37,NA,68.13,75.7,8906469,42.07
BTN,2008,67.55,NA,80.38,1613.51,59.17,5.82,35.01,NA,65.31,73.55,689737,33.24
BOL,2008,84.67,NA,94.91,2108.97,31.16,20.09,48.75,51.08,62,81.56,9880593,65.54
BIH,2008,99.29,NA,NA,3515.04,20.58,32.47,46.95,32.85,32.44,58.37,3943392,44.92
BWA,2008,44.5,NA,85.99,3659.34,26.21,17.35,56.44,NA,54.49,68.2,2007320,59.44
BRA,2008,98.53,NA,98.54,6892.4,13.68,23.68,62.64,64.28,54.71,77.08,192672317,83.75
BGR,2008,92.32,NA,99.67,5070.88,7.47,36.43,56.1,30.13,48.33,59.78,7492561,71.62
BFA,2008,12.52,NA,61,451.84,79.96,5.66,14.37,NA,59.7,82.95,15197915,23.53
BDI,2008,4.8,NA,92.45,136.38,89.32,2.78,7.9,49.76,81.13,78.15,8278109,10.12
CPV,2008,72.31,NA,96.55,2375.01,18.55,17.85,63.6,NA,47.18,71.84,510336,60.19
KHM,2008,26.4,NA,94.82,758.66,55.92,15.67,28.41,74.34,65.66,77.32,13943888,19.57
CMR,2008,50.55,NA,84.41,949.7,58.25,11.5,30.25,NA,75.74,84.4,18777081,50.35
CAN,2008,100,NA,NA,35346.07,1.94,21.46,76.6,67.34,62.55,72.73,33247118,80.58
CAF,2008,7.48,NA,64.14,NA,73.57,6.91,19.52,NA,63.21,77.83,4467233,38.51
TCD,2008,5.89,NA,NA,415.9,75.73,5.16,19.11,NA,55.04,75.51,11098664,21.9
CHL,2008,98.25,NA,96.1,8141.05,11.39,23.16,65.46,39.54,44.21,73.35,16661462,86.96
CHN,2008,98.79,NA,NA,3600.97,39.6,27.2,33.2,NA,65.11,79.13,1324655000,46.54
COL,2008,96.81,NA,NA,3947.02,18.05,20.04,61.91,48.33,49.61,78.26,43815313,77.2
COM,2008,57.81,NA,NA,1049.2,48.59,16.06,35.36,NA,32.6,53.03,629470,27.89
COD,2008,11.6,NA,NA,203.64,68.81,7.99,23.2,NA,67.62,72.12,62249724,38.98
COG,2008,36.8,NA,NA,741.02,38.32,23.81,37.87,NA,66.86,68.93,4089602,62.35
CRI,2008,99.26,NA,NA,8599.32,12.4,21.65,65.95,49.1,46.16,78.16,4501921,69.39
CIV,2008,60.3,NA,NA,904.7,48.86,11.1,40.05,NA,51.98,77.51,20244449,46.49
HRV,2008,100,NA,97.2,10643.83,12.82,30.85,56.33,36.64,45.75,61.26,4309705,54.82
CUB,2008,97.33,NA,97.01,5566.43,18.57,18.08,63.34,38.46,41.2,67.65,11276609,76.41
CZE,2008,100,NA,88.65,12451.08,3.17,40.53,56.3,31.14,49.33,68.21,10384603,73.39
DNK,2008,100,NA,96.51,42292.04,2.71,23.26,74.04,69.08,59.9,70.43,5493621,86.49
DJI,2008,57.38,NA,48.02,NA,1.93,5.26,92.8,NA,16.96,50.85,882886,76.9
DMA,2008,90.9,NA,83.93,NA,NA,NA,NA,NA,NA,NA,68782,67.5
DOM,2008,97.58,NA,86.59,4814.65,12.68,21.45,65.87,42,41.64,73.26,9522948,71.3
ECU,2008,97.21,NA,94.53,4050,27.95,18.76,53.28,50.78,52,81.35,14496797,62.3
EGY,2008,99.8,NA,NA,2556.83,31.69,22.91,45.4,35.49,21.88,72.89,83844783,43.06
SLV,2008,91,NA,95.95,3042.84,18.69,23.46,57.85,NA,46.06,78.42,6068099,63.68
GNQ,2008,65.24,NA,47.1,4788.33,53.48,16.76,29.76,NA,50.76,61.29,994971,62.75
ERI,2008,37.79,NA,74.9,NA,65.59,8.53,25.88,NA,71.92,83.79,3005779,34
EST,2008,100,NA,NA,12576.4,3.9,35.27,60.83,40.76,54.79,68.75,1337090,68.35
SWZ,2008,42.64,NA,NA,2455.2,16.09,25.01,58.9,NA,46.4,57.85,1089870,22.05
ETH,2008,22,NA,76.58,NA,75.8,7.63,16.56,NA,74.4,89.11,84357105,16.51
EMU,2008,99.99,NA,98.57,28154.68,3.66,27.08,69.26,43.42,49.41,65.12,334290264,74.82
FJI,2008,86.16,NA,99.32,NA,29.33,18.1,52.57,NA,40.14,79.16,896731,51.15
FIN,2008,100,NA,97.85,37610.15,4.52,25.15,70.33,53.47,57.37,65.74,5313399,83.3
FRA,2008,100,NA,98.75,30372.47,2.74,23.25,74.01,34.73,51.1,62.13,64379696,77.87
GAB,2008,82,NA,NA,3002.93,37.28,10.6,52.13,NA,39.39,58.3,1599978,84.36
GMB,2008,41.45,NA,66.64,498.79,53.04,6.33,40.63,NA,49.11,68.76,1820542,54.21
GEO,2008,100,NA,98.6,NA,51.31,10.29,38.4,36.16,54.2,74.55,3848449,54.77
DEU,2008,100,NA,88.44,31505.92,1.78,29.34,68.87,52.16,52.56,66.36,82110097,76.58
GHA,2008,60.5,NA,83.63,1165.71,48.62,14.72,36.66,NA,68.71,75.04,24326087,49.35
GRC,2008,100,NA,NA,19064.6,11.14,22.22,66.64,29.82,42.53,63.94,11077841,75.57
GRD,2008,90,NA,98.74,NA,NA,NA,NA,NA,NA,NA,112478,35.88
GTM,2008,81.89,NA,95.04,2939.4,33.36,22.45,44.19,NA,41.75,81.83,13739299,47.81
GIN,2008,25.4,NA,66.6,521.23,67.15,5.61,27.24,NA,55.71,65.72,9779785,33.11
GNB,2008,9.31,NA,NA,395.87,59.54,9.74,30.72,NA,48.54,65.01,1488431,39.33
GUY,2008,79.12,NA,96.65,NA,20.95,23.95,55.1,NA,37.25,74.85,754150,27.11
HTI,2008,36.09,NA,NA,1289.69,49.92,11.11,38.98,NA,59.73,70.24,9575247,45.55
HND,2008,76.4,NA,87.56,1809.54,34.27,22,43.73,49.44,39.38,79.61,8101777,50.57
HUN,2008,100,NA,97.02,9276.11,4.31,32.22,63.46,25.13,42.7,58.51,10038188,67.94
IND,2008,74.12,NA,96.84,914.06,53.39,20.53,26.08,NA,29.32,78.69,1206734806,30.25
IDN,2008,92.73,NA,96.09,1689.1,41.1,18.44,40.46,49.37,50.33,82.44,237936543,48.34
IRN,2008,98.81,NA,NA,5401.39,19.53,32.85,47.61,29.05,14.74,67.33,73318394,69.46
IRQ,2008,97.94,NA,NA,6163.63,25.2,20.11,54.69,NA,12.22,72.5,29218381,68.93
IRL,2008,100,NA,99.93,32755.03,5.29,23.29,71.43,65.96,56.83,75.22,4489544,61.14
ISR,2008,100,NA,97.27,25497.63,1.7,21.14,77.16,53.97,56.19,69.76,7308800,91.7
ITA,2008,100,NA,99.1,27365.8,3.7,29.8,66.5,30.75,38.69,60.41,58826731,68.09
JAM,2008,92,NA,NA,4668.11,17.49,18.07,64.44,38.35,55.69,73.36,2711373,53.37
JPN,2008,100,NA,NA,25531.36,4.1,27.6,68.29,44.43,48.4,72.7,128063000,89.1
JOR,2008,100,NA,86.68,NA,3.62,24.69,71.69,NA,14.03,63.24,6632873,83.69
KAZ,2008,100,NA,99.89,5270.21,30.16,18.92,50.92,46.93,66.74,76.17,15776938,56.68
KEN,2008,30.28,NA,75.5,1003.38,41.56,12.63,45.81,NA,70.95,76.06,39186895,22.8
KIR,2008,69.44,NA,NA,1774.22,NA,NA,NA,NA,NA,NA,103966,45.71
PRK,2008,NA,NA,NA,NA,48.38,14.73,36.88,NA,69.24,80.15,24469047,60.04
KOR,2008,100,NA,NA,19061.5,7.06,25.13,67.8,24.14,50.54,73.65,49054708,81.73
XKX,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1747383,NA
KWT,2008,100,NA,98.59,NA,2.51,25.14,72.35,NA,46.28,82.66,2650930,100
KGZ,2008,99.51,NA,95.27,853.47,34.01,20.65,45.34,NA,53.79,77.08,5318700,35.29
LAO,2008,66,NA,87.67,975.65,73.83,7.48,18.7,NA,57.84,65.87,6135861,28.89
LVA,2008,99.67,NA,98.6,9924.4,7.96,29.4,62.64,42.85,55.02,69.62,2177322,67.83
LBN,2008,99.9,NA,NA,5879.23,4.3,23.51,72.2,NA,21.63,66.9,4887613,87.04
LSO,2008,16.01,NA,86.58,1078.15,32.21,32.42,35.37,31.95,60.93,75.77,1995014,23.8
LBR,2008,1.28,NA,43.79,NA,48.93,10.92,40.15,NA,71.76,83.06,3783887,47.09
LBY,2008,85.14,NA,NA,NA,18.07,22.4,59.54,NA,33.77,61.55,6228370,77.63
LIE,2008,100,NA,99.22,NA,NA,NA,NA,52.63,NA,NA,35401,14.57
LTU,2008,99.44,NA,99.2,10474,8.06,30.52,61.42,30.02,50.55,62.23,3198231,66.85
LUX,2008,100,NA,97.59,69458.2,1.67,15.28,83.06,29.02,48.09,64.18,488650,87.8
MDG,2008,18.26,NA,NA,393.26,75.98,4.79,19.22,NA,84.06,89.12,20513599,30.67
MWI,2008,7.83,NA,97.84,NA,69.75,7.11,23.14,NA,73.75,81.25,13889423,15.33
MYS,2008,98.98,NA,95.07,5935.75,13.96,28.67,57.37,NA,43.03,76.3,27664296,69.23
MDV,2008,93.55,NA,96.87,NA,14.6,17.4,68,NA,36.67,65.85,336883,35.61
MLI,2008,23.43,NA,NA,524.75,66.43,8.02,25.55,NA,60.26,80.44,14551117,34.4
MLT,2008,100,NA,NA,NA,1.79,25.56,72.65,52.7,32.52,65.89,409379,93.93
MRT,2008,30,NA,73.02,1216.76,37.05,17.05,45.9,NA,27.61,62.08,3233336,44.79
MUS,2008,99.01,NA,96.68,7165.38,9.14,31.77,59.09,42.5,41.07,74.66,1244121,41.78
MEX,2008,98.91,NA,99.56,7503.2,13.74,25.58,60.69,47.72,42.57,80.31,109684489,77.22
MDA,2008,99.06,NA,90.46,1894.39,31.06,19.67,49.26,30.86,41.58,47.38,2868833,42.68
MNG,2008,79.17,NA,98.17,NA,40.59,15.23,44.18,33.61,53.98,62.93,2633887,65.58
MAR,2008,84.08,NA,90.29,2291.72,40.69,22.4,36.91,38.94,26.31,75.17,31634992,56.89
MOZ,2008,13.57,NA,87.68,389.48,77.63,4.67,17.7,NA,81.92,80.14,21845571,30.83
MMR,2008,50.63,NA,89.84,NA,53.53,17.19,29.28,NA,53.88,80.7,48729486,28.51
NAM,2008,42.43,NA,91.39,3280.92,31.02,13.53,55.45,36.4,51.13,62.18,2038552,39.6
NPL,2008,55.96,NA,NA,626.66,69.22,13.6,17.18,75.92,23.08,59.15,26881544,16.11
NLD,2008,100,NA,NA,37138.7,3.17,19.13,77.71,70.32,58.35,72.52,16445593,85.4
NZL,2008,100,NA,NA,26056.11,6.99,21.74,71.28,63.03,61.94,75.04,4259800,86.28
NIC,2008,77.52,NA,98.12,1409.79,28.16,19.63,52.21,NA,42.62,84.47,5687744,56.53
NER,2008,11.77,NA,NA,446.05,77.79,7.37,14.84,NA,68.61,90.11,15455175,16.23
NGA,2008,50.3,NA,64.89,2077.54,42.86,10.62,46.53,NA,56.82,63.87,152382506,41.7
NOR,2008,100,NA,99.26,61915.71,2.64,21.1,76.26,61.98,63.26,71.75,4768212,78.53
OMN,2008,100,NA,NA,15930.99,8.62,26.19,65.2,NA,25.76,78.55,2651028,74.08
PAK,2008,81.35,NA,64.93,1012.08,44.7,20.12,35.19,40.73,19.81,78.71,185931955,34.59
PLW,2008,98.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,19102,73.39
PAN,2008,86.28,NA,97.59,NA,17.9,19.08,63.01,49.75,47.01,80.5,3495276,64.56
PNG,2008,15.31,NA,NA,NA,28.89,6.26,64.84,NA,52.68,54.27,7137988,13.06
PRY,2008,96.68,NA,91.47,4059.58,25.3,19.05,55.65,58.58,53.78,84.83,5645148,58.61
PER,2008,84.68,NA,99.26,3754.39,28.44,16.82,54.74,68.48,70.3,86.25,28806185,76.05
PHL,2008,83.3,NA,88.53,2241.16,33.85,15.8,50.35,41.47,46.88,75.22,91252326,45.46
POL,2008,99.78,NA,93.52,8516.91,13.97,31.89,54.14,33.07,46.75,62.99,38125759,61.12
PRT,2008,100,NA,NA,15461.36,11.44,28.99,59.57,40.89,55.83,68.93,10558177,59.36
QAT,2008,100,NA,NA,NA,1.57,59.58,38.85,71.36,49.19,95.01,1444277,98.14
ROU,2008,96.45,NA,96.22,6626.52,28.7,31.6,39.69,30.41,46.85,62.82,20537875,53.57
RUS,2008,98.32,NA,94.85,7691.64,8.53,28.67,62.8,41.84,56.04,70.24,142742366,73.6
RWA,2008,6,NA,NA,415.46,81.54,4.76,13.69,NA,54.22,68.77,9781996,16.93
WSM,2008,98.1,NA,NA,NA,32.66,14.83,52.51,NA,40.95,66.46,191787,20.52
SMR,2008,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,30700,95.26
SAU,2008,100,NA,NA,17914.67,6.51,23.72,69.78,NA,18.24,75.2,27437353,81.65
SEN,2008,49.75,NA,71.16,931.77,39.11,17.62,43.26,NA,33.62,65.57,11872929,42.95
SRB,2008,99.61,NA,98.55,4368.67,25.04,26.22,48.73,32.54,44.66,61.83,7350222,54.55
SLE,2008,12.1,NA,NA,470.72,66.81,5.39,27.81,NA,62.18,62.93,6090860,38.08
SGP,2008,100,NA,NA,NA,0.97,23.53,75.5,37.15,56.19,78.27,4839396,100
SVK,2008,100,NA,87.18,12065.21,3.96,40.13,55.92,32.4,50.99,68.26,5379233,55.11
SVN,2008,100,NA,99.33,17662.33,8.59,35.12,56.29,42.95,53.58,65.67,2021316,52.21
SOM,2008,22.85,NA,NA,NA,36.05,16.26,47.7,NA,20.56,49,11444870,36.01
ZAF,2008,81.9,NA,NA,4702.32,17.86,22.58,59.56,35.26,52.61,67.71,50565812,61.15
SSD,2008,1.28,NA,NA,NA,62.33,15.81,21.85,64.48,69.46,73.18,8823888,17.56
ESP,2008,100,NA,NA,22369.34,4.05,27.83,68.13,47.7,49.94,68.51,45954106,77.98
LKA,2008,82.86,NA,95.41,NA,33.47,27.25,39.28,NA,34.42,74.42,20285643,18.26
SDN,2008,19.97,NA,NA,NA,46.94,15.28,37.78,35.6,28.4,70.45,32065241,32.92
SUR,2008,94.67,NA,88.45,NA,7.54,24.52,67.94,NA,39.16,64.03,533938,66.48
SWE,2008,100,NA,98.44,42334.25,2.12,21.33,76.55,52.84,59.86,68,9219637,84.75
CHE,2008,100,NA,NA,59006.76,3.59,22.88,73.53,67.13,61.29,75.45,7647675,73.56
SYR,2008,91.32,NA,99.04,NA,14.45,32.97,52.58,32.29,13.68,73.35,21474059,54.88
TJK,2008,98.65,NA,98.41,1013.72,53.71,16.1,30.2,NA,29.12,56.72,7324627,26.52
TZA,2008,11.5,NA,99.1,615.4,71.18,5.61,23.2,NA,85.58,89.25,42870884,26.78
THA,2008,94.82,NA,97.95,NA,39.75,21.18,39.07,48.99,65.76,81.5,67328239,41.24
TLS,2008,43.05,NA,83.94,NA,51.49,7.94,40.56,NA,63.13,73.56,1043076,27.05
TGO,2008,31.84,NA,91.32,372.47,48.01,13.75,38.24,NA,55.31,61.67,6222482,36.59
TUR,2008,99.69,NA,97.75,NA,23.67,26.81,49.52,37.14,23.84,68.7,71320726,69.65
TKM,2008,99.61,NA,NA,NA,33.05,27.83,39.12,NA,50.82,48.87,5100083,47.87
TCA,2008,96.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,27422,89.29
UGA,2008,15.92,NA,NA,510.46,74,6.7,19.3,NA,65.04,75.27,30509862,18.38
UKR,2008,99.79,NA,87.98,2068.1,16.98,25.7,57.33,NA,52.44,60.86,46258189,68.33
ARE,2008,100,NA,NA,44145.06,4.26,24.39,71.35,44.77,39.99,88.38,6988685,83.39
GBR,2008,100,NA,98.88,36029.12,1.08,22,76.92,61.24,55.97,69.97,61806995,80.76
USA,2008,100,NA,NA,43695.25,1.61,21.22,77.16,58.78,58.43,71.37,304093966,80.44
URY,2008,98.78,NA,99.74,10562.9,10.58,21.55,67.87,53.89,54.49,74.59,3336126,94
UZB,2008,99.49,NA,93.87,NA,28.83,21.71,49.45,NA,44.42,73.34,27302800,49.99
VEN,2008,98.92,NA,92.02,NA,8.52,22.87,68.61,43.85,49.72,79.27,27933833,88.03
VNM,2008,93.84,NA,97.8,1300.8,48.53,21.08,30.39,NA,71.01,79.46,85597241,29.13
YEM,2008,58.36,NA,77.17,NA,26.35,18.05,55.59,NA,11.53,68.77,23329004,30.62
ZMB,2008,25.74,NA,92.17,NA,68.72,7.51,23.77,56.09,51.59,67.51,12852966,38.37
ZWE,2008,37.74,NA,NA,NA,72.88,9.07,18.05,NA,60.94,71.03,12550347,33.56
DZA,2008,99.3,NA,97.27,3106.54,14.72,29.27,56.01,NA,13.65,68.75,34569592,66.1
AFG,2009,48.28,NA,NA,NA,56.27,13.83,29.9,NA,15.46,78.69,27385307,23.53
AGO,2009,33.85,NA,81.26,1682.44,46.51,7.75,45.74,42.36,75.63,78.99,22507674,59.03
ARG,2009,97.79,NA,99.51,10012.52,9.79,21.18,69.03,42.39,48.79,73.4,40684338,90.69
ARM,2009,99.28,NA,NA,2621.79,39.45,17.08,43.47,NA,55.21,68.47,2964296,63.54
AUS,2009,100,NA,96.81,NA,3.23,21.14,75.62,69.1,58.74,72.28,21691653,85.06
AUT,2009,100,NA,87.47,35439.84,5.32,24.97,69.71,58.47,54.04,67.31,8343323,57.68
BHR,2009,100,NA,NA,14130.7,1.14,34.53,64.32,NA,42.63,86.55,1179453,88.58
BGD,2009,57.08,NA,95.86,938.89,47.53,16.79,35.68,NA,30.38,84.84,146706810,29.71
BRB,2009,100,NA,97.24,NA,3.01,18.25,78.75,NA,62.71,73.14,273791,32.06
BLR,2009,93.78,NA,NA,3741.52,13.24,32.21,54.55,48.2,56.61,68.32,9504583,74.17
BEL,2009,100,NA,97.77,32356.63,1.49,23.47,75.04,32.44,46.95,60.38,10796493,97.6
BLZ,2009,86.94,NA,97.14,3311.11,18.31,16.25,65.44,NA,44.28,79.52,314171,45.25
BEN,2009,29.99,NA,94.23,806.43,45.8,18.21,35.99,NA,68.61,75.22,9172514,42.58
BTN,2009,71.52,NA,85.17,1682.98,56.91,5.64,37.46,48.6,65.66,73.15,697678,34.01
BOL,2009,86.77,NA,97.19,2120.04,30.07,20.69,49.24,50.8,62.59,81.6,10051317,65.98
BIH,2009,99.39,NA,NA,3454.64,21.22,31.48,47.3,32.27,32.86,57.82,3877750,45.24
BWA,2009,43.36,NA,85.56,3383.95,25.09,18.11,56.8,39.34,55.54,69.32,2048997,60.94
BRA,2009,98.86,NA,96.59,7005.53,13.27,23.15,63.59,63.78,55.19,76.95,194517549,84.04
BGR,2009,92.91,NA,99.3,5067.27,7.09,35.24,57.67,29.54,47.52,59,7444443,71.96
BFA,2009,12.63,NA,63.89,448.82,79.58,5.76,14.66,NA,59.31,81.59,15650022,24.08
BDI,2009,5.39,NA,90.76,139.37,88.91,2.88,8.21,NA,81.04,78.06,8709366,10.38
CPV,2009,74.09,NA,95.75,2423.32,18.15,17.89,63.95,NA,47.6,71.13,515638,61.02
KHM,2009,25.6,NA,NA,749.79,58.04,15.62,26.34,76.51,64.6,76.67,14155740,19.93
CMR,2009,51.69,NA,87.01,1005.57,56.63,11.87,31.51,NA,73.2,83.29,19319274,50.95
CAN,2009,100,NA,NA,32716.35,1.95,20.29,77.76,65.34,62.43,71.91,33628895,80.76
CAF,2009,9.39,NA,64.27,537.6,72.45,6.91,20.64,NA,63.2,77.89,4564540,38.69
TCD,2009,6.3,NA,NA,578.94,74.97,5.41,19.61,NA,54.39,75.13,11496128,21.93
CHL,2009,99.59,NA,94.52,8471.03,11.08,22.92,66,38.43,44.65,72.49,16833447,87.02
CHN,2009,99.11,NA,NA,4045.4,38.1,27.8,34.1,NA,64.39,78.61,1331260000,47.88
COL,2009,96.06,NA,NA,4058.91,18.38,19.92,61.7,52.14,53.1,80.28,44313917,77.59
COM,2009,60.12,NA,NA,1085.81,47.08,16.53,36.39,NA,32.61,53.59,642493,27.92
COD,2009,12.3,NA,NA,213.44,67.99,7.84,24.17,NA,66.37,71.53,64270232,39.49
COG,2009,37.1,NA,NA,905.21,37.25,24.32,38.43,52.07,66.87,68.9,4257230,62.8
CRI,2009,99.41,NA,NA,8443.84,10.89,20.96,68.15,47.37,46.3,76.74,4563127,70.58
CIV,2009,57.34,NA,55.84,927.9,48.23,11.17,40.6,NA,52.35,77.09,20677762,46.91
HRV,2009,100,NA,91.5,9612.33,13.32,29.01,57.67,36.29,46.72,60.18,4305181,54.99
CUB,2009,97.56,NA,98.54,5763.47,18.73,17.57,63.7,NA,42.38,69.03,11283185,76.51
CZE,2009,100,NA,88.93,11699.21,3.12,38.57,58.31,31.84,49.55,68.32,10443936,73.32
DNK,2009,100,NA,96.43,40258.48,2.76,20.57,76.67,67.86,59.64,69.29,5523095,86.65
DJI,2009,57.62,NA,47.99,NA,1.87,5.24,92.89,NA,17.21,49.93,901103,76.94
DMA,2009,90.22,NA,91.36,NA,NA,NA,NA,NA,NA,NA,68787,67.8
DOM,2009,97.86,NA,95.31,4943.04,13.13,18.21,68.66,37.42,38.73,71.94,9648061,72.54
